0,2,1
acquire lock 536900659544358,,
remove lock 536900659544358 from owners,,
retire lock 536900659544358,,
wait SH lock 536900837211982,,
acquire lock 536900837211982,,
remove lock 536900837211982 from owners,,
retire lock 536900837211982,,
wait EX lock 536900682833922,,
acquire lock 536900682833922,,
remove lock 536900682833922 from owners,,
retire lock 536900682833922,,
wait SH lock 536900920141558,,
acquire lock 536900920141558,,
remove lock 536900920141558 from owners,,
retire lock 536900920141558,,
pre-commit: txn 39's barriers = 0,,
txn 39 set commited,,
release lock 536900920141558 from retired,,
release lock 536900682833922 from retired,,
release lock 536900837211982 from retired,,
release lock 536900659544358 from retired,,
release lock 536900944500956 from retired,,
release lock 536900690083963 from retired,,
release lock 536901109996451 from retired,,
release lock 536900736617863 from retired,,
release lock 536901093840037 from retired,,
release lock 536900732297050 from retired,,
release lock 536900936517745 from retired,,
release lock 536900687933632 from retired,,
release lock 536900749118025 from retired,,
release lock 536901158520993 from retired,,
release lock 536900749115690 from retired,,
start txn 42,,
wait EX lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
wait EX lock 536901205865880,,
acquire lock 536901205865880,,
remove lock 536901205865880 from owners,,
retire lock 536901205865880,,
wait SH lock 536900749119881,,
acquire lock 536900749119881,,
remove lock 536900749119881 from owners,,
retire lock 536900749119881,,
wait EX lock 536900722928035,,
acquire lock 536900722928035,,
remove lock 536900722928035 from owners,,
retire lock 536900722928035,,
wait SH lock 536901063504172,,
acquire lock 536901063504172,,
remove lock 536901063504172 from owners,,
retire lock 536901063504172,,
wait EX lock 536900699228174,,
acquire lock 536900699228174,,
remove lock 536900699228174 from owners,,
retire lock 536900699228174,,
wait SH lock 536900978007870,,
acquire lock 536900978007870,,
remove lock 536900978007870 from owners,,
retire lock 536900978007870,,
wait EX lock 536900657376404,,
acquire lock 536900657376404,,
remove lock 536900657376404 from owners,,
retire lock 536900657376404,,
wait SH lock 536900828992501,,
acquire lock 536900828992501,,
remove lock 536900828992501 from owners,,
retire lock 536900828992501,,
wait EX lock 536900744970329,,
acquire lock 536900744970329,,
remove lock 536900744970329 from owners,,
retire lock 536900744970329,,
wait SH lock 536901140948658,,
acquire lock 536901140948658,,
remove lock 536901140948658 from owners,,
retire lock 536901140948658,,
wait EX lock 536900689512463,,
