ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.9, 168026, 0, 24830,0,0,0,0, 27481, 42.261,582452, 4.06054, 5.0081, 2.34471, 0, 0, 2.23597, 16.9797, 13.0348, 0, 0, 0, 0, 0, 0.294745, 1538438, 0, 73056
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 554214, 0, 37352,0,0,0,0, 50198, 78.6919,318945, 20.0991, 8.71839, 4.85547, 0, 0, 2.1201, 19.2456, 43.0879, 0, 0, 0, 0, 0, 0.487001, 1568649, 0, 175264
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 524620, 0, 34028,0,0,0,0, 45044, 71.0238,355385, 17.3421, 7.52347, 3.82168, 0, 0, 1.82961, 16.3356, 40.5465, 0, 0, 0, 0, 0, 0.487842, 1577550, 0, 170144
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.5, 0, 0, 19507,0,0,0,0, 19507, 29.9895,820198, 0, 1.52211, 0.018033, 0, 0, 2.35883, 16.846, 0.0339556, 0, 0, 0, 0, 0, 3.6665e-05, 1537331, 0, 46
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.5, 0, 0, 18704,0,0,0,0, 18704, 27.9754,855423, 0, 1.43434, 0.0267944, 0, 0, 1.9132, 16.0309, 0.0321502, 0, 0, 0, 0, 0, 0.00102531, 1495676, 0, 37
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 7, 0, 23198,0,0,0,0, 23198, 36.0174,689701, 0.000149362, 1.75233, 0.0278696, 0, 0, 3.78273, 20.7935, 0.0385542, 0, 0, 0, 0, 0, 0.000143327, 1552578, 0, 144
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 8, 0, 20592,0,0,0,0, 20592, 31.3777,776982, 0.000331188, 1.58817, 0.042616, 0, 0, 2.64923, 17.8994, 0.0359064, 0, 0, 0, 0, 0, 0.000173473, 1523742, 0, 157
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.7, 405, 0, 20606,0,0,0,0, 20611, 32.0242,776282, 0.00644444, 1.89326, 0.227985, 0, 0, 2.7961, 18.6507, 0.0686062, 0, 0, 0, 0, 0, 0.00366382, 1553737, 0, 1176
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.7, 374, 0, 18936,0,0,0,0, 18940, 29.054,844755, 0.00569014, 1.66714, 0.079252, 0, 0, 2.39682, 16.3992, 0.0646794, 0, 0, 0, 0, 0, 0.00124593, 1533970, 0, 1283
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 15085, 0, 17662,0,0,0,0, 17814, 26.6672,898236, 0.225122, 2.12465, 0.354633, 0, 0, 1.86439, 14.8224, 1.19989, 0, 0, 0, 0, 0, 0.0136218, 1497091, 0, 13095
