ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,COMMUTATIVE_LATCH,COMMUTATIVE_OPS,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,NUM_WH,PERC_PAYMENT,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,16,0.5,,,,true,,,,,8,true,true,TPCC,false,, 3571, 1,, 13991,0,0,0,0, 13991,, 9.67127,566884, 0, 0.926548, 0.00851401, 0.165936, 2.27597, 1.32333, 5.21126, 0.0163306, 0.113398, 0.455906, 0.114721, 0.235922, 0, 5.18e-07, 685311, 3571, 1
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,16,0.5,,,,true,,,,,16,true,true,TPCC,false,, 7331, 2,, 14015,0,0,0,0, 14015,, 20.5666,1.13233e+06, 0.000127386, 1.98902, 0.0181705, 0.343681, 5.07336, 2.24462, 11.3692, 0.0340465, 0.238645, 0.995823, 0.229149, 0.514178, 0, 4.364e-06, 1455507, 7328, 5
50000,4,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,16,0.5,,,,true,,,,,16,true,true,TPCC,false,, 6795, 2,, 14217,0,0,0,0, 14217,, 19.6652,1.11634e+06, 6.2197e-05, 1.92865, 0.0248139, 0.338952, 4.82539, 2.16638, 11.0338, 0.0338513, 0.235387, 0.95123, 0.227316, 0.476811, 0, 1.2497e-05, 1372069, 6792, 5
50000,12,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,16,0.5,,,,true,,,,,16,true,true,TPCC,false,, 7299, 1,, 10159,0,0,0,0, 10159,, 14.7172,1.5623e+06, 0, 1.66973, 0.0156673, 0.292906, 3.95019, 1.32994, 7.5775, 0.0290091, 0.18891, 0.804627, 0.155233, 0.445556, 0, 5.966e-06, 1437045, 7299, 9
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,16,0.5,,,,true,,,,,32,true,true,TPCC,false,, 20277, 2,, 20301,0,0,0,0, 20356,, 48.2858,1.56055e+06, 0.129799, 7.17951, 2.21772, 1.16207, 9.68528, 4.83289, 26.9376, 0.732596, 0.70095, 2.54611, 0.531405, 1.1765, 0, 0.0871674, 2354769, 11795, 51585
50000,4,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,16,0.5,,,,true,,,,,32,true,true,TPCC,false,, 24262, 2,, 16549,0,0,0,0, 16591,, 46.2432,1.91444e+06, 0.117909, 6.73305, 1.53688, 1.20876, 10.6195, 4.25217, 25.2246, 0.896848, 0.724549, 2.62287, 0.530812, 1.20521, 0, 0.0730108, 2766559, 13797, 63197
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,16,0.5,,,,true,,,,,32,true,true,TPCC,false,, 24952, 2,, 15865,0,0,0,0, 15905,, 44.4612,1.99689e+06, 0.111693, 6.61926, 1.62698, 1.08345, 9.39168, 4.54511, 24.4248, 0.935182, 0.766828, 2.45139, 0.621328, 1.13931, 0, 0.0665111, 2774502, 14132, 59174
50000,16,true,WOUND_WAIT,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,1,true,true,TPCC,false,, 503, 0,, 5577,0,0,0,0, 5577,, 0.562145,177890, 0, 0.0966402, 0, 0.0104385, 0.151024, 0.0588762, 0.334157, 0.0019493, 0.0102519, 0.0459497, 0, 0, 2211267, 0, 100000, 503, 0
50000,16,true,WOUND_WAIT,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,2,true,true,TPCC,false,, 1597, 1,, 12267,0,0,0,0, 12288,, 2.44745,161798, 0.00428115, 0.291719, 0, 0.0295172, 0.509839, 0.165921, 1.07517, 0.0490618, 0.0231706, 0.148248, 0, 0, 23108671, 0.702327, 197996, 1021, 148306
50000,16,true,WOUND_WAIT,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,4,true,true,TPCC,false,, 7273, 3,, 21665,0,0,0,0, 21806,, 8.75183,182412, 0.0565271, 0.631096, 0, 0.0771805, 1.08709, 0.322584, 2.16322, 0.408792, 0.0810103, 0.311965, 0, 0, 41208512, 4.81625, 399109, 2086, 386345
50000,16,true,WOUND_WAIT,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,8,true,true,TPCC,false,, 14724, 3,, 47986,0,0,0,0, 48448,, 38.8652,164271, 0.373092, 1.44891, 0, 0.310262, 2.5342, 0.663744, 5.30588, 0.851107, 0.201754, 0.718024, 0, 0, 87382783, 29.4726, 798053, 3957, 839350
50000,16,true,WOUND_WAIT,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,16,true,true,TPCC,false,, 24777, 1,, 96091,0,0,0,0, 96987,, 155.769,164132, 1.44408, 2.99914, 0, 1.06937, 5.14074, 1.26734, 11.2947, 1.3342, 0.441705, 1.52466, 0, 0, 189446918, 135.628, 1597918, 7981, 1688965
