ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.75,true,true,1024*1024*20,16,YCSB,false,0,3,0,0,10.335385,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.140956,0.000000,0.000000,-nan,0.000000,0.000000,0.000258,412.552447,62051.901918,0.004053,1.934248,6.020910,20.689383,0.014100,0.163960,376.442620,1599979
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.75,true,true,1024*1024*20,32,YCSB,false,0,8,0,0,20.467142,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.360423,0.000000,0.000000,-nan,0.000000,0.000000,0.000499,1596.350973,64144.530683,0.005587,4.040479,10.558684,42.442725,0.027859,0.365968,1524.297669,3199912
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,1,true,true,1024*1024*20,16,YCSB,false,0,1,0,0,10.595352,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.790157,0.000000,0.000000,-nan,0.000000,0.000000,0.000393,628.073281,40759.549523,0.000013,1.663537,7.946276,22.327720,0.018136,0.192400,588.276275,1599999
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0,true,true,1024*1024*20,16,YCSB,false,0,207782,0,0,14.051307,13.000000,10.000000,22433.000000,1.299939,2.617535,0.490183,4.040183,1.312562,8.297859,2.358044,0.000000,0.000000,0.000045,78.860013,313307.582002,9.585095,15.174071,4.032089,33.782691,16.043416,0.000000,5.124899,1544215
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0,true,true,1024*1024*20,32,YCSB,false,0,977081,0,0,45.318406,32.000000,27.000000,114195.000000,8.294633,13.166273,1.770245,21.263446,4.477998,178.881455,2.512781,0.000000,0.000000,0.000134,496.987973,200276.620995,81.566578,207.757286,7.190633,251.803317,75.404751,0.000000,71.136195,3110471
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.25,true,true,1024*1024*20,16,YCSB,false,0,609840,0,0,11.076473,15.000000,13.000000,42474.000000,0.973126,1.297884,0.295802,2.777127,1.008626,1.925492,2.387720,0.000000,0.000000,0.000037,89.404879,256174.475250,36.053784,7.212882,2.223441,16.750828,46.942702,0.000000,0.555194,1431453
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.25,true,true,1024*1024*20,32,YCSB,false,0,2214635,0,0,52.556116,32.000000,28.000000,247177.000000,9.011167,16.937387,2.406383,32.406382,5.788991,114.554655,2.547138,0.000000,0.000000,0.000118,597.667676,166684.684550,228.985532,156.251338,3.860563,171.629703,171.003360,0.000000,77.562030,3113189
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.5,true,true,1024*1024*20,16,YCSB,false,0,1611392,0,0,11.360821,16.000000,14.000000,97386.000000,1.663776,1.501980,0.498190,3.453288,1.385471,3.746479,2.254277,0.000000,0.000000,0.000044,171.851651,144616.544704,102.773235,10.397408,1.834683,14.530738,123.661101,0.000000,0.094350,1553287
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.5,true,true,1024*1024*20,32,YCSB,false,0,5762593,0,0,29.431560,32.000000,30.000000,523710.000000,5.491366,8.070396,2.004747,19.097041,4.794933,14.132806,2.394180,0.000000,0.000000,0.000059,596.684968,159628.623269,419.811350,42.846273,2.684051,29.882097,443.106847,0.000000,3.465377,2976500
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.75,true,true,1024*1024*20,16,YCSB,false,0,2031431,0,0,10.061048,16.000000,15.000000,175062.000000,2.257966,1.852388,0.691297,4.320883,1.540118,10.091190,2.398836,0.000000,0.000000,0.000049,210.978984,97784.374557,148.269467,17.784501,1.731823,12.846113,156.025924,0.000000,0.108310,1289403
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.75,true,true,1024*1024*20,32,YCSB,false,0,8169259,0,0,30.959833,32.000000,29.000000,717606.000000,7.320523,9.229765,2.779268,22.039347,5.680269,21.431587,2.418119,0.000000,0.000000,0.000064,795.221177,125560.157159,596.119264,54.634744,2.370137,28.432056,624.050524,0.000000,1.916519,3120253
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,1,true,true,1024*1024*20,16,YCSB,false,0,3679845,0,0,12.445846,16.000000,15.000000,517214.000000,3.381393,3.379708,1.300479,8.584758,2.256913,32.373880,2.581730,0.000000,0.000000,0.000041,378.751518,60222.364612,320.662527,46.077516,3.320175,17.741440,282.614931,0.000000,0.115987,1425582
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,1,true,true,1024*1024*20,32,YCSB,false,0,12309376,0,0,39.503556,32.000000,31.000000,1436900.000000,12.136828,15.118404,4.557049,40.747015,8.575791,59.254557,2.744256,0.000000,0.000000,0.000061,1228.707218,82085.572946,1035.634695,116.257531,3.541495,34.982442,947.635765,0.000000,3.513579,3151848
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0,true,true,1024*1024*20,16,YCSB,false,0,257156,0,0,10.182190,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.117474,0.000000,0.000000,-nan,0.000000,0.000000,0.000028,51.085173,475778.915804,7.983698,1.932164,2.702896,15.498620,19.840838,0.153911,0.715464,1519078
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0,true,true,1024*1024*20,32,YCSB,false,0,30145,0,0,29.696985,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,7.063309,0.000000,0.000000,-nan,0.000000,0.000000,0.000092,297.282302,343103.370828,2.720191,9.199778,8.402074,55.521492,2.418455,0.382058,209.311483,3187455
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.25,true,true,1024*1024*20,16,YCSB,false,0,452,0,0,10.548623,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.671508,0.000000,0.000000,-nan,0.000000,0.000000,0.000070,112.099320,228275.854036,0.052112,2.574935,4.873366,20.869259,0.052506,0.170320,76.836083,1599348
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.25,true,true,1024*1024*20,32,YCSB,false,0,83,0,0,21.429854,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.083777,0.000000,0.000000,-nan,0.000000,0.000000,0.000152,486.905003,210271.817603,0.030615,6.056370,9.449189,45.626037,0.036718,0.376992,412.406271,3199450
