ABORT_PENALTY,CC_ALG,DEBUG_PROFILING,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug2,debug3,debug4,debug5,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,WOUND_WAIT,pf,100000,16,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000013,4.597773,307155.682639,0.000000,0.183456,0.761740,2.053907,0.062205,0.046668,0.000063,353058
1,WOUND_WAIT,pf,100000,16,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,2.222406,175538.616765,0.000000,0.090759,0.405133,0.954093,0.032156,0.024413,0.000000,195059
1,WOUND_WAIT,pf,100000,16,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,0.986254,101393.712137,0.000000,0.034285,0.180485,0.278386,0.006884,0.003236,0.000000,100000
1,WOUND_WAIT,pf,100000,8,true,16,TPCC,6640,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000019,27.462418,821228.784410,0.041895,1.159804,2.075088,9.300341,0.327674,0.252801,8.809970,1409558
1,WOUND_WAIT,pf,100000,8,true,8,TPCC,18,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,7.807024,765692.068486,0.000245,0.396149,0.897510,3.625420,0.145071,0.113745,0.000338,747222
1,WOUND_WAIT,pf,100000,8,true,4,TPCC,2,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,3.811436,397536.306323,0.000034,0.182481,0.426801,1.760704,0.061868,0.046512,0.000019,378796
1,WOUND_WAIT,pf,100000,8,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,2.051867,193003.734185,0.000000,0.093920,0.243170,0.996151,0.030931,0.022958,0.000011,198009
1,WOUND_WAIT,pf,100000,8,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.898129,111342.559632,0.000000,0.036082,0.140259,0.294580,0.006935,0.003164,0.000000,100000
1,WOUND_WAIT,pf,100000,4,true,16,TPCC,23344,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,50.215715,487035.104720,0.297492,1.513798,1.926218,9.693273,0.339753,0.254765,30.875004,1528551
1,WOUND_WAIT,pf,100000,4,true,8,TPCC,4174,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,12.557743,483026.927635,0.021828,0.553593,0.954354,4.375062,0.148611,0.109717,3.996247,758216
